transaction_id,expected_classification,scenario
TXN-2026-0001,matched,perfect_3_way_match
TXN-2026-0002,matched,perfect_3_way_match
TXN-2026-0003,matched,perfect_3_way_match
TXN-2026-0004,matched,perfect_3_way_match
TXN-2026-0005,matched,perfect_3_way_match
TXN-2026-0006,matched,perfect_3_way_match
TXN-2026-0007,matched,perfect_3_way_match
TXN-2026-0008,matched,perfect_3_way_match
TXN-2026-0009,matched,perfect_3_way_match
TXN-2026-0010,matched,perfect_3_way_match
TXN-2026-0011,matched,perfect_3_way_match
TXN-2026-0012,matched,perfect_3_way_match
TXN-2026-0013,matched,perfect_3_way_match
TXN-2026-0014,matched,perfect_3_way_match
TXN-2026-0015,matched,perfect_3_way_match
TXN-2026-0016,matched,perfect_3_way_match
TXN-2026-0017,matched,perfect_3_way_match
TXN-2026-0018,matched,perfect_3_way_match
TXN-2026-0019,matched,perfect_3_way_match
TXN-2026-0020,matched,perfect_3_way_match
TXN-2026-0021,matched,perfect_3_way_match
TXN-2026-0022,matched,perfect_3_way_match
TXN-2026-0023,matched,perfect_3_way_match
TXN-2026-0024,matched,perfect_3_way_match
TXN-2026-0025,matched,perfect_3_way_match
TXN-2026-0026,matched,perfect_3_way_match
TXN-2026-0027,matched,perfect_3_way_match
TXN-2026-0028,matched,perfect_3_way_match
TXN-2026-0029,matched,perfect_3_way_match
TXN-2026-0030,matched,perfect_3_way_match
TXN-2026-0031,matched,perfect_3_way_match
TXN-2026-0032,matched,perfect_3_way_match
TXN-2026-0033,matched,perfect_3_way_match
TXN-2026-0034,matched,perfect_3_way_match
TXN-2026-0035,matched,perfect_3_way_match
TXN-2026-0036,matched,perfect_3_way_match
TXN-2026-0037,matched,perfect_3_way_match
TXN-2026-0038,matched,perfect_3_way_match
TXN-2026-0039,matched,perfect_3_way_match
TXN-2026-0040,matched,perfect_3_way_match
TXN-2026-0041,matched,perfect_3_way_match
TXN-2026-0042,matched,perfect_3_way_match
TXN-2026-0043,matched,perfect_3_way_match
TXN-2026-0044,matched,perfect_3_way_match
TXN-2026-0045,matched,perfect_3_way_match
TXN-2026-0046,matched,perfect_3_way_match
TXN-2026-0047,matched,perfect_3_way_match
TXN-2026-0048,matched,perfect_3_way_match
TXN-2026-0049,matched,perfect_3_way_match
TXN-2026-0050,matched,perfect_3_way_match
TXN-2026-0051,matched,perfect_3_way_match
TXN-2026-0052,matched,perfect_3_way_match
TXN-2026-0053,matched,perfect_3_way_match
TXN-2026-0054,matched,perfect_3_way_match
TXN-2026-0055,matched,perfect_3_way_match
TXN-2026-0056,matched,perfect_3_way_match
TXN-2026-0057,matched,perfect_3_way_match
TXN-2026-0058,matched,perfect_3_way_match
TXN-2026-0059,matched,perfect_3_way_match
TXN-2026-0060,matched,perfect_3_way_match
TXN-2026-0061,matched,perfect_3_way_match
TXN-2026-0062,matched,perfect_3_way_match
TXN-2026-0063,matched,perfect_3_way_match
TXN-2026-0064,matched,perfect_3_way_match
TXN-2026-0065,matched,perfect_3_way_match
TXN-2026-0066,matched,perfect_3_way_match
TXN-2026-0067,matched,perfect_3_way_match
TXN-2026-0068,matched,perfect_3_way_match
TXN-2026-0069,matched,perfect_3_way_match
TXN-2026-0070,matched,perfect_3_way_match
TXN-2026-0071,matched,perfect_3_way_match
TXN-2026-0072,matched,perfect_3_way_match
TXN-2026-0073,matched,perfect_3_way_match
TXN-2026-0074,matched,perfect_3_way_match
TXN-2026-0075,matched,perfect_3_way_match
TXN-2026-0076,matched,perfect_3_way_match
TXN-2026-0077,matched,perfect_3_way_match
TXN-2026-0078,matched,perfect_3_way_match
TXN-2026-0079,matched,perfect_3_way_match
TXN-2026-0080,matched,perfect_3_way_match
TXN-2026-0081,matched,perfect_3_way_match
TXN-2026-0082,matched,perfect_3_way_match
TXN-2026-0083,matched,perfect_3_way_match
TXN-2026-0084,matched,perfect_3_way_match
TXN-2026-0085,matched,perfect_3_way_match
TXN-2026-0086,amount_mismatch,bank_amount_mismatch
TXN-2026-0087,amount_mismatch,bank_amount_mismatch
TXN-2026-0088,amount_mismatch,bank_amount_mismatch
TXN-2026-0089,amount_mismatch,bank_amount_mismatch
TXN-2026-0090,amount_mismatch,bank_amount_mismatch
TXN-2026-0091,date_mismatch,bank_date_mismatch
TXN-2026-0092,date_mismatch,bank_date_mismatch
TXN-2026-0093,date_mismatch,bank_date_mismatch
TXN-2026-0094,timing_issue,settlement_delay
TXN-2026-0095,timing_issue,settlement_delay
TXN-2026-0096,timing_issue,settlement_delay
TXN-2026-0097,missing,missing_bank_record
TXN-2026-0098,missing,missing_bank_record
TXN-2026-0099,duplicate,duplicate_gateway_record
TXN-2026-0100,duplicate,duplicate_gateway_record
