transaction_id,amount,currency,date,reference,status,notes
TXN-2026-0001,4999.0,INR,2026-08-01,RPY-SET-100001,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0002,499.5,INR,2026-08-01,RPY-SET-100002,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0003,999.0,INR,2026-08-01,RPY-SET-100003,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0004,799.0,INR,2026-08-01,RPY-SET-100004,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0005,4999.0,INR,2026-08-01,RPY-SET-100005,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0006,4999.5,INR,2026-08-01,RPY-SET-100006,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0007,2500.0,INR,2026-08-01,RPY-SET-100007,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0008,2500.0,INR,2026-08-01,RPY-SET-100008,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0009,499.0,INR,2026-08-01,RPY-SET-100009,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0010,499.0,INR,2026-08-01,RPY-SET-100010,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0011,799.5,INR,2026-08-01,RPY-SET-100011,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0012,2500.0,INR,2026-08-01,RPY-SET-100012,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0013,2500.0,INR,2026-08-02,RPY-SET-100013,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0014,4999.5,INR,2026-08-02,RPY-SET-100014,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0015,4999.5,INR,2026-08-02,RPY-SET-100015,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0016,1499.0,INR,2026-08-02,RPY-SET-100016,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0017,1499.5,INR,2026-08-02,RPY-SET-100017,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0018,999.0,INR,2026-08-02,RPY-SET-100018,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0019,9999.0,INR,2026-08-02,RPY-SET-100019,SUCCESS,Synthetic buildathon demo transaction
